,,Type,Niveau,Production MW/H par an,Prix de construction,Ratio Prod/prix,Dangerosité,Ressource,"Consomation (t,Barils,M³)/an",Prix mWh,Pour 100k habs (M),Nmbr pour 100k habs
,,éolien onshore,1,100,"25 000,00",4,"2,00%",N/A,N/A,250,"12,5",500
,,éolien onshore,2,150,"32 400,00","4,62962963","1,90%",N/A,N/A,216,"12,528","386,6666667"
,,éolien onshore,3,200,"37 400,00","5,347593583","1,80%",N/A,N/A,187,"12,529",335
,,éolien onshore,4,300,"45 300,00","6,622516556","1,70%",N/A,N/A,151,"11,778",260
,,éolien onshore,5,415,"57 685,00","7,194244604","1,60%",N/A,N/A,139,"12,51","216,8674699"
,,éolien onshore,6,600,"72 000,00","8,333333333","1,50%",N/A,N/A,120,"12,48","173,3333333"
,,éolien onshore,7,850,"88 400,00","9,615384615","1,40%",N/A,N/A,104,"12,48","141,1764706"
,,éolien onshore,8,"1 200,00","108 000,00","11,11111111","1,30%",N/A,N/A,90,"12,51","115,8333333"
,,éolien onshore,9,"1 700,00","132 600,00","12,82051282","1,20%",N/A,N/A,78,"12,558","94,70588235"
,,éolien onshore,10,"2 500,00","167 500,00","14,92537313","1,10%",N/A,N/A,67,"12,529","74,8"
,,éolien onshore,11,"3 500,00","203 000,00","17,24137931","1,10%",N/A,N/A,58,"12,528","61,71428571"
,,éolien onshore,12,"5 000,00","250 000,00",20,"1,00%",N/A,N/A,50,"12,5",50
,,éolien offshore,1,500,"175 000,00","2,857142857","2,00%",N/A,N/A,350,"17,5",100
,,éolien offshore,2,650,"191 750,00","3,389830508","1,90%",N/A,N/A,295,"17,11","89,23076923"
,,éolien offshore,3,850,"212 500,00",4,"1,80%",N/A,N/A,250,"16,75","78,82352941"
,,éolien offshore,4,"1 100,00","232 100,00","4,739336493","1,70%",N/A,N/A,211,"16,458","70,90909091"
,,éolien offshore,5,"1 400,00","250 600,00","5,586592179","1,60%",N/A,N/A,179,"16,11","64,28571429"
,,éolien offshore,6,"1 800,00","271 800,00","6,622516556","1,50%",N/A,N/A,151,"15,704","57,77777778"
,,éolien offshore,7,"2 300,00","294 400,00","7,8125","1,40%",N/A,N/A,128,"15,36","52,17391304"
,,éolien offshore,8,"3 000,00","324 000,00","9,259259259","1,30%",N/A,N/A,108,"15,012","46,33333333"
